x,y
-182.8395061728395, 0.23076923076923078
-169.3827160493827, 0
-161.9753086419753, -0.46153846153846156
-159.50617283950618, -0.576923076923077
-158.64197530864197, -0.6923076923076923
-155.679012345679, -0.23076923076923078
-151.72839506172838, -0.23076923076923078
-150.12345679012344, -0.11538461538461539
-147.77777777777777, -0.576923076923077
-146.79012345679013, -0.576923076923077
-145.1851851851852, -0.6923076923076923
-143.9506172839506, -1.153846153846154
-142.22222222222223, -1.153846153846154
-140.8641975308642, -0.576923076923077
-138.39506172839506, -0.9230769230769231
-136.91358024691357, -1.3846153846153846
-134.93827160493825, -1.8461538461538463
-133.9506172839506, -1.9615384615384617
-129.50617283950618, -1.8461538461538463
-128.5185185185185, -2.076923076923077
-124.93827160493827, -0.9230769230769231
-123.9506172839506, -1.0384615384615385
-123.08641975308642, -1.153846153846154
-121.60493827160494, -0.9230769230769231
-120, -0.576923076923077
-118.5185185185185, -1.0384615384615385
-116.79012345679011, -0.9230769230769231
-115.30864197530863, -0.9230769230769231
-113.58024691358024, -1.5
-112.09876543209876, -1.5
-110.61728395061728, -1.0384615384615385
-108.14814814814814, -0.576923076923077
-105.92592592592592, -0.46153846153846156
-102.96296296296296, -0.6923076923076923
-100.86419753086419, -0.6923076923076923
-98.88888888888889, -0.9230769230769231
-98.02469135802468, -1.0384615384615385
-95.80246913580247, -0.6923076923076923
-91.9753086419753, -1.9615384615384617
-90.37037037037037, -1.6153846153846154
-88.88888888888889, -2.307692307692308
-86.5432098765432, -2.307692307692308
-83.20987654320987, -1.0384615384615385
-80.98765432098764, -1.6153846153846154
-78.76543209876543, -1.9615384615384617
-77.1604938271605, -2.307692307692308
-74.69135802469135, -1.6153846153846154
-71.85185185185185, -2.769230769230769
-68.76543209876543, -3.230769230769231
-66.91358024691358, -2.4230769230769234
-65.18518518518518, -2.4230769230769234
-63.456790123456784, -1.6153846153846154
-62.716049382716044, -2.5384615384615388
-61.48148148148148, -2.5384615384615388
-59.01234567901234, -3.807692307692308
-57.28395061728395, -3.3461538461538463
-53.95061728395061, -3.3461538461538463
-49.01234567901234, -4.153846153846154
-46.666666666666664, -3.230769230769231
-45.18518518518518, -3.9230769230769234
-42.59259259259259, -4.153846153846154
-40.617283950617285, -3.6923076923076925
-39.75308641975308, -3.807692307692308
-38.02469135802469, -3.6923076923076925
-35.80246913580247, -4.153846153846154
-34.07407407407407, -3.9230769230769234
-32.59259259259259, -5.1923076923076925
-29.87654320987654, -4.730769230769231
-25.185185185185183, -4.384615384615385
-20.493827160493826, -4.269230769230769
-12.839506172839506, -3.9230769230769234
-6.91358024691358, -3.807692307692308
0, -3.9230769230769234
